㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
遦	遦 遦󠄁 遦󠄂
遧	遧 遧󠄁 遧󠄂
遨	遨 遨󠄁 遨󠄂 遨󠄃
適	適 適󠄂 適󠄃 適󠄄
遬	遬 遬󠄁 遬󠄂
遭	遭 遭󠄂 遭󠄃
遮	遮 遮󠄂 遮󠄃 遮󠄄 遮󠄅
遯	遯 遯󠄁 遯󠄂 遯󠄃 遯󠄄 遯󠄅
遰	遰 遰󠄁 遰󠄂
遲	遲 遲󠄁 遲󠄂 遲󠄃
遳	遳 遳󠄀 遳󠄁 遳󠄂
遴	遴 遴󠄁 遴󠄂 遴󠄃 遴󠄄
遵	遵 遵󠄃 遵󠄄 遵󠄅
遶	遶 遶󠄁 遶󠄂
遷	遷 遷󠄄 遷󠄅 遷󠄆 遷󠄇 遷󠄈 遷󠄉 遷󠄊
選	選 選󠄂 選󠄃 選󠄄
遹	遹 遹󠄁 遹󠄂
遺	遺 遺󠄂 遺󠄃
遻	遻 遻󠄀 遻󠄁
遼	遼 遼󠄂 遼󠄃
遽	遽 遽󠄁 遽󠄂 遽󠄃 遽󠄄 遽󠄅
避	避 避󠄂 避󠄃
邀	邀 邀󠄁 邀󠄂 邀󠄃
邁	邁 邁󠄂 邁󠄃 邁󠄄 邁󠄅
邂	邂 邂󠄁 邂󠄂
邃	邃 邃󠄂 邃󠄃 邃󠄄 邃󠄅 邃󠄇 邃󠄈
還	還 還󠄂 還󠄃 還󠄄
邅	邅 邅󠄁 邅󠄂
邇	邇 邇󠄂 邇󠄃 邇󠄄
邈	邈 邈󠄁 邈󠄂
邉	邉 邉󠄏 邉󠄐 邉󠄑 邉󠄒 邉󠄓 邉󠄔 邉󠄕 邉󠄖 邉󠄗 邉󠄘 邉󠄙 邉󠄚 邉󠄛 邉󠄜 邉󠄝 邉󠄟
邊	邊 邊󠄈 邊󠄉 邊󠄊 邊󠄋 邊󠄌 邊󠄍 邊󠄎 邊󠄏 邊󠄐 邊󠄑 邊󠄒
邋	邋 邋󠄁 邋󠄂
邌	邌 邌󠄁 邌󠄂
邍	邍 邍󠄀 邍󠄁 邍󠄂
邎	邎 邎󠄁 邎󠄂
邏	邏 邏󠄁 邏󠄂
邐	邐 邐󠄁 邐󠄂
邙	邙 邙󠄁 邙󠄂
那	那 那󠄂 那󠄃
邦	邦 邦󠄃 邦󠄄 邦󠄅 邦󠄆 邦󠄈
邨	邨 邨󠄂 邨󠄃
邪	邪 邪󠄃 邪󠄄 邪󠄅
邫	邫 邫󠄀 邫󠄁
邴	邴 邴󠄁 邴󠄂
郒	郒 郒󠄁 郒󠄂
郛	郛 郛󠄁 郛󠄂
郢	郢 郢󠄁 郢󠄂 郢󠄃
郤	郤 郤󠄁 郤󠄂
郱	郱 郱󠄀 郱󠄁
都	都 都󠄂 都󠄃
鄀	鄀 鄀󠄁 鄀󠄂
鄂	鄂 鄂󠄁 鄂󠄂
鄕	鄕 鄕󠄁 鄕󠄂 鄕󠄃 鄕󠄅
鄙	鄙 鄙󠄁 鄙󠄂
鄚	鄚 鄚󠄁 鄚󠄂
鄛	鄛 鄛󠄀 鄛󠄁
鄣	鄣 鄣󠄁 鄣󠄂
鄭	鄭 鄭󠄂 鄭󠄃
鄮	鄮 鄮󠄁 鄮󠄂
鄰	鄰 鄰󠄂 鄰󠄃 鄰󠄄
鄷	鄷 鄷󠄁 鄷󠄂
鄽	鄽 鄽󠄁 鄽󠄂
酅	酅 酅󠄀 酅󠄁
酋	酋 酋󠄂 酋󠄃 酋󠄅
酌	酌 酌󠄂 酌󠄃
配	配 配󠄃 配󠄄 配󠄅 配󠄆
酒	酒 酒󠄁 酒󠄂
酢	酢 酢󠄁 酢󠄂
酪	酪 酪󠄁 酪󠄂
酬	酬 酬󠄁 酬󠄂
酲	酲 酲󠄂 酲󠄃
酵	酵 酵󠄁 酵󠄂
酷	酷 酷󠄂 酷󠄃
酸	酸 酸󠄁 酸󠄂 酸󠄃
醚	醚 醚󠄀 醚󠄁
醜	醜 醜󠄁 醜󠄂
醤	醤 醤󠄁 醤󠄂
醧	醧 醧󠄁 醧󠄂
醨	醨 醨󠄁 醨󠄂
醪	醪 醪󠄂 醪󠄃
醫	醫 醫󠄁 醫󠄂
醬	醬 醬󠄁 醬󠄂
醰	醰 醰󠄁 醰󠄂
醵	醵 醵󠄁 醵󠄂 醵󠄃
醷	醷 醷󠄀 醷󠄁
醺	醺 醺󠄂 醺󠄃
釁	釁 釁󠄂 釁󠄃 釁󠄄 釁󠄅 釁󠄆
采	采 采󠄂 采󠄃
釈	釈 釈󠄁 釈󠄂
釋	釋 釋󠄁 釋󠄂
重	重 重󠄁 重󠄂
釜	釜 釜󠄂 釜󠄃
釟	釟 釟󠄁 釟󠄂
釣	釣 釣󠄂 釣󠄃
釩	釩 釩󠄁 釩󠄂
釫	釫 釫󠄀 釫󠄁
釮	釮 釮󠄁 釮󠄂
釯	釯 釯󠄁 釯󠄂
釵	釵 釵󠄁 釵󠄂
釼	釼 釼󠄃 釼󠄄 釼󠄅
鈐	鈐 鈐󠄁 鈐󠄂
鈓	鈓 鈓󠄁 鈓󠄂
鈩	鈩 鈩󠄁 鈩󠄂
鈸	鈸 鈸󠄁 鈸󠄂
鉂	鉂 鉂󠄁 鉂󠄂
鉅	鉅 鉅󠄁 鉅󠄂
鉋	鉋 鉋󠄁 鉋󠄂
鉒	鉒 鉒󠄀 鉒󠄁
鉛	鉛 鉛󠄃 鉛󠄄 鉛󠄅
鉡	鉡 鉡󠄁 鉡󠄂
鉨	鉨 鉨󠄁 鉨󠄂
鉸	鉸 鉸󠄁 鉸󠄂
鉼	鉼 鉼󠄁 鉼󠄂
銃	銃 銃󠄁 銃󠄂
銎	銎 銎󠄁 銎󠄂
銓	銓 銓󠄁 銓󠄂
銢	銢 銢󠄀 銢󠄁 銢󠄂
銷	銷 銷󠄁 銷󠄂
鋆	鋆 鋆󠄁 鋆󠄂
鋋	鋋 鋋󠄁 鋋󠄂
鋌	鋌 鋌󠄁 鋌󠄂 鋌󠄃
鋕	鋕 鋕󠄁 鋕󠄂
鋗	鋗 鋗󠄁 鋗󠄂
鋘	鋘 鋘󠄁 鋘󠄂
鋝	鋝 鋝󠄁 鋝󠄂
鋣	鋣 鋣󠄁 鋣󠄂
鋩	鋩 鋩󠄂 鋩󠄃 鋩󠄄
鋮	鋮 鋮󠄁 鋮󠄂
鋻	鋻 鋻󠄁 鋻󠄂
錀	錀 錀󠄁 錀󠄂
錂	錂 錂󠄁 錂󠄂
錆	錆 錆󠄂 錆󠄃
錚	錚 錚󠄁 錚󠄂 錚󠄃
錨	錨 錨󠄁 錨󠄂
錵	錵 錵󠄂 錵󠄃
錺	錺 錺󠄁 錺󠄂
鍈	鍈 鍈󠄁 鍈󠄂
鍑	鍑 鍑󠄁 鍑󠄂
鍥	鍥 鍥󠄂 鍥󠄃 鍥󠄄
鍩	鍩 鍩󠄁 鍩󠄂
鍮	鍮 鍮󠄁 鍮󠄂
鍳	鍳 鍳󠄁 鍳󠄂
鍵	鍵 鍵󠄂 鍵󠄃
鎋	鎋 鎋󠄂 鎋󠄃
鎌	鎌 鎌󠄂 鎌󠄃
鎖	鎖 鎖󠄂 鎖󠄃
鎚	鎚 鎚󠄂 鎚󠄃
鎡	鎡 鎡󠄂 鎡󠄃 鎡󠄄 鎡󠄅
鎦	鎦 鎦󠄁 鎦󠄂
鎭	鎭 鎭󠄁 鎭󠄂
鎰	鎰 鎰󠄁 鎰󠄂 鎰󠄃
鎹	鎹 鎹󠄁 鎹󠄂 鎹󠄃 鎹󠄄 鎹󠄅
鎺	鎺 鎺󠄁 鎺󠄂
鏈	鏈 鏈󠄁 鏈󠄂
鏌	鏌 鏌󠄁 鏌󠄂
鏐	鏐 鏐󠄁 鏐󠄂
鏑	鏑 鏑󠄁 鏑󠄂
鏓	鏓 鏓󠄁 鏓󠄂
鏞	鏞 鏞󠄁 鏞󠄂
鏠	鏠 鏠󠄀 鏠󠄁
鏡	鏡 鏡󠄁 鏡󠄂
鏳	鏳 鏳󠄀 鏳󠄁
鏵	鏵 鏵󠄁 鏵󠄂
鏻	鏻 鏻󠄁 鏻󠄂
鐄	鐄 鐄󠄁 鐄󠄂
鐔	鐔 鐔󠄁 鐔󠄂
鐕	鐕 鐕󠄁 鐕󠄂
鐖	鐖 鐖󠄁 鐖󠄂
鐘	鐘 鐘󠄁 鐘󠄂
鐩	鐩 鐩󠄀 鐩󠄁 鐩󠄂
鐪	鐪 鐪󠄀 鐪󠄁
鐯	鐯 鐯󠄁 鐯󠄂
鐵	鐵 鐵󠄁 鐵󠄂
鐹	鐹 鐹󠄀 鐹󠄁
鐻	鐻 鐻󠄁 鐻󠄂
鑁	鑁 鑁󠄁 鑁󠄂
鑊	鑊 鑊󠄁 鑊󠄂
鑒	鑒 鑒󠄁 鑒󠄂
鑓	鑓 鑓󠄂 鑓󠄃
鑛	鑛 鑛󠄁 鑛󠄂
鑟	鑟 鑟󠄁 鑟󠄂
鑮	鑮 鑮󠄁 鑮󠄂
鑱	鑱 鑱󠄁 鑱󠄂
鑵	鑵 鑵󠄁 鑵󠄂
鑶	鑶 鑶󠄀 鑶󠄁 鑶󠄂
鑷	鑷 鑷󠄂 鑷󠄃 鑷󠄄
钄	钄 钄󠄁 钄󠄂
開	開 開󠄁 開󠄂
閒	閒 閒󠄂 閒󠄃
閔	閔 閔󠄁 閔󠄂
閡	閡 閡󠄁 閡󠄂
閫	閫 閫󠄂 閫󠄃
閭	閭 閭󠄁 閭󠄂
閻	閻 閻󠄂 閻󠄃
閼	閼 閼󠄂 閼󠄃
闇	闇 闇󠄁 闇󠄂
闈	闈 闈󠄁 闈󠄂
闉	闉 闉󠄁 闉󠄂
闍	闍 闍󠄂 闍󠄃
闐	闐 闐󠄁 闐󠄃
闒	闒 闒󠄁 闒󠄂
闤	闤 闤󠄁 闤󠄂
闥	闥 闥󠄁 闥󠄂
降	降 降󠄂 降󠄃 降󠄄
陔	陔 陔󠄁 陔󠄂
陟	陟 陟󠄁 陟󠄂
陵	陵 陵󠄁 陵󠄂
陻	陻 陻󠄁 陻󠄂
陿	陿 陿󠄁 陿󠄂
隁	隁 隁󠄁 隁󠄂
隂	隂 隂󠄁 隂󠄂
隆	隆 隆󠄃 隆󠄄 隆󠄅 隆󠄆
隊	隊 隊󠄂 隊󠄃 隊󠄄
隔	隔 隔󠄂 隔󠄃
隘	隘 隘󠄃 隘󠄄 隘󠄅 隘󠄆
隙	隙 隙󠄂 隙󠄃
障	障 障󠄁 障󠄂
隠	隠 隠󠄁 隠󠄂
隣	隣 隣󠄃 隣󠄄 隣󠄅
隧	隧 隧󠄂 隧󠄃 隧󠄄 隧󠄅
隨	隨 隨󠄁 隨󠄂
險	險 險󠄁 險󠄂
隱	隱 隱󠄁 隱󠄂
隴	隴 隴󠄁 隴󠄂
隶	隶 隶󠄁 隶󠄂
隹	隹 隹󠄁 隹󠄂
隻	隻 隻󠄂 隻󠄃
雅	雅 雅󠄃 雅󠄄 雅󠄅
雇	雇 雇󠄂 雇󠄃
雌	雌 雌󠄁 雌󠄂
雕	雕 雕󠄁 雕󠄂
雘	雘 雘󠄁 雘󠄂 雘󠄃 雘󠄄
雙	雙 雙󠄂 雙󠄃
雚	雚 雚󠄂 雚󠄃 雚󠄄
離	離 離󠄁 離󠄂
難	難 難󠄂 難󠄃 難󠄄 難󠄈
雨	雨 雨󠄂 雨󠄃
雩	雩 雩󠄁 雩󠄂
雪	雪 雪󠄂 雪󠄃
雯	雯 雯󠄁 雯󠄂
雰	雰 雰󠄂 雰󠄃
雹	雹 雹󠄁 雹󠄂
霄	霄 霄󠄁 霄󠄂
霆	霆 霆󠄂 霆󠄃 霆󠄄
震	震 震󠄁 震󠄂
霓	霓 霓󠄁 霓󠄂
霙	霙 霙󠄁 霙󠄂
霡	霡 霡󠄂 霡󠄃 霡󠄄
霤	霤 霤󠄂 霤󠄃
霪	霪 霪󠄁 霪󠄂
霮	霮 霮󠄀 霮󠄁
霶	霶 霶󠄁 霶󠄂
靄	靄 靄󠄁 靄󠄃
靆	靆 靆󠄁 靆󠄂
靉	靉 靉󠄁 靉󠄂
靕	靕 靕󠄂 靕󠄃 靕󠄄
靖	靖 靖󠄂 靖󠄃
靗	靗 靗󠄁 靗󠄂
靘	靘 靘󠄁 靘󠄂
靚	靚 靚󠄁 靚󠄂
靛	靛 靛󠄁 靛󠄂
靜	靜 靜󠄃 靜󠄄 靜󠄅
靝	靝 靝󠄀 靝󠄁
非	非 非󠄁 非󠄂
靠	靠 靠󠄄 靠󠄅 靠󠄆 靠󠄇
靡	靡 靡󠄁 靡󠄂
靤	靤 靤󠄁 靤󠄂
革	革 革󠄁 革󠄂
靫	靫 靫󠄁 靫󠄂
靭	靭 靭󠄃 靭󠄄
靱	靱 靱󠄄 靱󠄅 靱󠄆
靴	靴 靴󠄂 靴󠄃
靹	靹 靹󠄁 靹󠄂
靾	靾 靾󠄀 靾󠄁
鞄	鞄 鞄󠄂 鞄󠄃
鞆	鞆 鞆󠄁 鞆󠄂
鞏	鞏 鞏󠄁 鞏󠄂
鞘	鞘 鞘󠄂 鞘󠄃
鞚	鞚 鞚󠄁 鞚󠄂
鞨	鞨 鞨󠄁 鞨󠄂 鞨󠄃
鞭	鞭 鞭󠄂 鞭󠄃
鞳	鞳 鞳󠄁 鞳󠄂
鞸	鞸 鞸󠄁 鞸󠄂 鞸󠄃
鞾	鞾 鞾󠄁 鞾󠄂
鞿	鞿 鞿󠄁 鞿󠄂
韃	韃 韃󠄁 韃󠄂
韄	韄 韄󠄁 韄󠄂
韆	韆 韆󠄁 韆󠄂 韆󠄃 韆󠄄 韆󠄅
韈	韈 韈󠄁 韈󠄂 韈󠄃 韈󠄄
韉	韉 韉󠄁 韉󠄂
韊	韊 韊󠄁 韊󠄂
韋	韋 韋󠄁 韋󠄂 韋󠄃
韌	韌 韌󠄁 韌󠄂 韌󠄃
韍	韍 韍󠄁 韍󠄂
韎	韎 韎󠄁 韎󠄂
韐	韐 韐󠄁 韐󠄂
韑	韑 韑󠄁 韑󠄂 韑󠄃
韓	韓 韓󠄂 韓󠄃 韓󠄅
韔	韔 韔󠄁 韔󠄂
韗	韗 韗󠄁 韗󠄂
韘	韘 韘󠄁 韘󠄂
韙	韙 韙󠄁 韙󠄂
韛	韛 韛󠄁 韛󠄂
韜	韜 韜󠄁 韜󠄂 韜󠄃 韜󠄄
韝	韝 韝󠄁 韝󠄂
韞	韞 韞󠄂 韞󠄃 韞󠄄 韞󠄅
韠	韠 韠󠄁 韠󠄂 韠󠄃
韡	韡 韡󠄁 韡󠄂
韤	韤 韤󠄁 韤󠄂 韤󠄃
韮	韮 韮󠄁 韮󠄂
韰	韰 韰󠄀 韰󠄁
韱	韱 韱󠄁 韱󠄂
音	音 音󠄂 音󠄃
韵	韵 韵󠄁 韵󠄂
韶	韶 韶󠄁 韶󠄂
韹	韹 韹󠄀 韹󠄁
韺	韺 韺󠄁 韺󠄂 韺󠄃
韻	韻 韻󠄁 韻󠄂 韻󠄃
響	響 響󠄅 響󠄆 響󠄇 響󠄈 響󠄉 響󠄊
頀	頀 頀󠄁 頀󠄂 頀󠄃
頃	頃 頃󠄁 頃󠄂
頄	頄 頄󠄁 頄󠄂
頋	頋 頋󠄀 頋󠄁
頌	頌 頌󠄂 頌󠄃
頑	頑 頑󠄂 頑󠄃
頒	頒 頒󠄂 頒󠄃
頓	頓 頓󠄂 頓󠄃
頙	頙 頙󠄁 頙󠄂
頠	頠 頠󠄁 頠󠄂
頤	頤 頤󠄂 頤󠄃
頩	頩 頩󠄀 頩󠄁
頲	頲 頲󠄁 頲󠄂 頲󠄃
頻	頻 頻󠄂 頻󠄃
顄	顄 顄󠄁 顄󠄂
顎	顎 顎󠄁 顎󠄂
顛	顛 顛󠄁 顛󠄂
類	類 類󠄂 類󠄃 類󠄄
顧	顧 顧󠄂 顧󠄃
顰	顰 顰󠄁 顰󠄂
顳	顳 顳󠄂 顳󠄃 顳󠄄
顴	顴 顴󠄁 顴󠄂
颶	颶 颶󠄁 颶󠄂
颾	颾 颾󠄀 颾󠄁
食	食 食󠄂 食󠄃
飢	飢 飢󠄂 飢󠄃 飢󠄄
飣	飣 飣󠄁 飣󠄂
飤	飤 飤󠄀 飤󠄁
飦	飦 飦󠄁 飦󠄂 飦󠄃
飩	飩 飩󠄁 飩󠄂
飪	飪 飪󠄁 飪󠄂
飫	飫 飫󠄂 飫󠄃
飭	飭 飭󠄁 飭󠄂 飭󠄃
飯	飯 飯󠄃 飯󠄄
飴	飴 飴󠄂 飴󠄃
飵	飵 飵󠄀 飵󠄁
飶	飶 飶󠄁 飶󠄂
飻	飻 飻󠄀 飻󠄁
飼	飼 飼󠄂 飼󠄃
飽	飽 飽󠄂 飽󠄃 飽󠄄
飾	飾 飾󠄂 飾󠄃
餁	餁 餁󠄀 餁󠄁
餂	餂 餂󠄁 餂󠄂
餃	餃 餃󠄂 餃󠄃 餃󠄄
餅	餅 餅󠄂 餅󠄃
餉	餉 餉󠄂 餉󠄃
養	養 養󠄂 養󠄃 養󠄄 養󠄅
餌	餌 餌󠄄 餌󠄅 餌󠄆 餌󠄇 餌󠄈 餌󠄉
餐	餐 餐󠄂 餐󠄃
餑	餑 餑󠄁 餑󠄂
餒	餒 餒󠄁 餒󠄂 餒󠄃
餓	餓 餓󠄂 餓󠄃
餔	餔 餔󠄁 餔󠄂
餕	餕 餕󠄁 餕󠄂 餕󠄃
餖	餖 餖󠄁 餖󠄂
餗	餗 餗󠄁 餗󠄂
餘	餘 餘󠄁 餘󠄂
餚	餚 餚󠄁 餚󠄂
餛	餛 餛󠄁 餛󠄂
餜	餜 餜󠄁 餜󠄂
餝	餝 餝󠄁 餝󠄂 餝󠄃
餞	餞 餞󠄁 餞󠄂
餟	餟 餟󠄁 餟󠄂
餠	餠 餠󠄁 餠󠄂
餡	餡 餡󠄂 餡󠄃
餢	餢 餢󠄁 餢󠄂
餣	餣 餣󠄀 餣󠄁
餤	餤 餤󠄁 餤󠄂
餦	餦 餦󠄁 餦󠄂
餧	餧 餧󠄁 餧󠄂 餧󠄃
館	館 館󠄂 館󠄃
餩	餩 餩󠄀 餩󠄁 餩󠄂
餪	餪 餪󠄀 餪󠄁
餫	餫 餫󠄁 餫󠄂
餬	餬 餬󠄁 餬󠄂
餭	餭 餭󠄀 餭󠄁
餮	餮 餮󠄁 餮󠄂
餰	餰 餰󠄀 餰󠄁
餱	餱 餱󠄁 餱󠄂
餲	餲 餲󠄁 餲󠄂
餳	餳 餳󠄁 餳󠄂
餴	餴 餴󠄁 餴󠄂 餴󠄃
餶	餶 餶󠄀 餶󠄁
餹	餹 餹󠄁 餹󠄂 餹󠄃
餺	餺 餺󠄁 餺󠄂
餻	餻 餻󠄁 餻󠄂
餼	餼 餼󠄁 餼󠄂
餽	餽 餽󠄁 餽󠄂
餾	餾 餾󠄁 餾󠄂
餿	餿 餿󠄀 餿󠄁
饀	饀 饀󠄁 饀󠄂
饁	饁 饁󠄁 饁󠄂
饂	饂 饂󠄁 饂󠄂 饂󠄃 饂󠄄
饄	饄 饄󠄀 饄󠄁
饅	饅 饅󠄃 饅󠄄 饅󠄅
饆	饆 饆󠄁 饆󠄂 饆󠄃
饇	饇 饇󠄁 饇󠄂 饇󠄃
饈	饈 饈󠄁 饈󠄂
饉	饉 饉󠄁 饉󠄂 饉󠄃
饊	饊 饊󠄀 饊󠄁
饋	饋 饋󠄂 饋󠄃
饌	饌 饌󠄁 饌󠄂 饌󠄃
饍	饍 饍󠄁 饍󠄂
饎	饎 饎󠄁 饎󠄂
饐	饐 饐󠄁 饐󠄂
饑	饑 饑󠄁 饑󠄂 饑󠄃 饑󠄄
饒	饒 饒󠄁 饒󠄂
饕	饕 饕󠄁 饕󠄂
饖	饖 饖󠄀 饖󠄁
饗	饗 饗󠄄 饗󠄅 饗󠄆 饗󠄇 饗󠄈 饗󠄉 饗󠄊
饘	饘 饘󠄁 饘󠄂
饙	饙 饙󠄁 饙󠄂 饙󠄃
饛	饛 饛󠄁 饛󠄂 饛󠄃 饛󠄄
饜	饜 饜󠄁 饜󠄂 饜󠄃
饝	饝 饝󠄀 饝󠄁
饞	饞 饞󠄁 饞󠄂
饟	饟 饟󠄁 饟󠄂
饠	饠 饠󠄁 饠󠄂
饡	饡 饡󠄀 饡󠄁
馧	馧 馧󠄀 馧󠄁
馰	馰 馰󠄁 馰󠄂
馷	馷 馷󠄀 馷󠄁
馺	馺 馺󠄁 馺󠄂
馼	馼 馼󠄁 馼󠄂
駁	駁 駁󠄂 駁󠄃
駐	駐 駐󠄂 駐󠄃
駛	駛 駛󠄁 駛󠄂
駭	駭 駭󠄁 駭󠄂
駮	駮 駮󠄁 駮󠄂
駸	駸 駸󠄁 駸󠄂
駿	駿 駿󠄁 駿󠄂
騕	騕 騕󠄀 騕󠄁
騙	騙 騙󠄂 騙󠄃
騞	騞 騞󠄁 騞󠄂
騯	騯 騯󠄀 騯󠄁
騰	騰 騰󠄂 騰󠄃
驀	驀 驀󠄁 驀󠄂
驁	驁 驁󠄁 驁󠄂
驄	驄 驄󠄁 驄󠄂
驊	驊 驊󠄂 驊󠄃 驊󠄄
驎	驎 驎󠄁 驎󠄂
驔	驔 驔󠄁 驔󠄂
驖	驖 驖󠄁 驖󠄂 驖󠄃
驘	驘 驘󠄁 驘󠄂
驚	驚 驚󠄁 驚󠄂
驛	驛 驛󠄁 驛󠄂
驟	驟 驟󠄂 驟󠄃
驥	驥 驥󠄂 驥󠄃
驩	驩 驩󠄁 驩󠄂
骨	骨 骨󠄁 骨󠄂 骨󠄃
骸	骸 骸󠄁 骸󠄂
骾	骾 骾󠄁 骾󠄂
骿	骿 骿󠄁 骿󠄂
髈	髈 髈󠄁 髈󠄂
髒	髒 髒󠄁 髒󠄂
髓	髓 髓󠄁 髓󠄂
髖	髖 髖󠄁 髖󠄂 髖󠄃
髟	髟 髟󠄁 髟󠄂
髮	髮 髮󠄁 髮󠄂
髯	髯 髯󠄂 髯󠄃
髱	髱 髱󠄁 髱󠄂
鬆	鬆 鬆󠄁 鬆󠄂
鬒	鬒 鬒󠄁 鬒󠄂
鬘	鬘 鬘󠄂 鬘󠄃
鬛	鬛 鬛󠄁 鬛󠄂
鬣	鬣 鬣󠄁 鬣󠄂
鬭	鬭 鬭󠄂 鬭󠄃 鬭󠄄
鬮	鬮 鬮󠄂 鬮󠄃 鬮󠄄 鬮󠄅 鬮󠄆
鬲	鬲 鬲󠄁 鬲󠄂 鬲󠄃
鬼	鬼 鬼󠄁 鬼󠄂
魃	魃 魃󠄁 魃󠄂
魍	魍 魍󠄂 魍󠄃
魏	魏 魏󠄁 魏󠄂
魑	魑 魑󠄁 魑󠄂
魔	魔 魔󠄂 魔󠄃
魵	魵 魵󠄁 魵󠄂
鮃	鮃 鮃󠄁 鮃󠄂
鮎	鮎 鮎󠄁 鮎󠄂 鮎󠄃
鮑	鮑 鮑󠄁 鮑󠄂
鮒	鮒 鮒󠄁 鮒󠄂
鮗	鮗 鮗󠄂 鮗󠄃
鮠	鮠 鮠󠄁 鮠󠄂
鮫	鮫 鮫󠄃 鮫󠄄 鮫󠄅
鮬	鮬 鮬󠄁 鮬󠄂
鮱	鮱 鮱󠄁 鮱󠄂 鮱󠄃
鮹	鮹 鮹󠄂 鮹󠄃
鮼	鮼 鮼󠄁 鮼󠄂
鯁	鯁 鯁󠄁 鯁󠄂
鯉	鯉 鯉󠄁 鯉󠄂
鯎	鯎 鯎󠄁 鯎󠄂
鯔	鯔 鯔󠄁 鯔󠄂
鯖	鯖 鯖󠄂 鯖󠄃
鯛	鯛 鯛󠄂 鯛󠄃 鯛󠄄
鯡	鯡 鯡󠄂 鯡󠄃
鯨	鯨 鯨󠄁 鯨󠄂
鯫	鯫 鯫󠄁 鯫󠄂
鯰	鯰 鯰󠄁 鯰󠄂
鯱	鯱 鯱󠄂 鯱󠄃
鯲	鯲 鯲󠄂 鯲󠄃
鯵	鯵 鯵󠄁 鯵󠄂
鯽	鯽 鯽󠄁 鯽󠄂
鰀	鰀 鰀󠄁 鰀󠄂
鰄	鰄 鰄󠄁 鰄󠄂
鰋	鰋 鰋󠄁 鰋󠄂
鰌	鰌 鰌󠄁 鰌󠄂 鰌󠄃
鰐	鰐 鰐󠄁 鰐󠄂 鰐󠄃
鰙	鰙 鰙󠄁 鰙󠄂
鰟	鰟 鰟󠄀 鰟󠄁
鰡	鰡 鰡󠄁 鰡󠄂
鰢	鰢 鰢󠄁 鰢󠄂
鰦	鰦 鰦󠄁 鰦󠄂
鰧	鰧 鰧󠄁 鰧󠄂
鰭	鰭 鰭󠄁 鰭󠄂
鰯	鰯 鰯󠄂 鰯󠄃
鰰	鰰 鰰󠄁 鰰󠄂
鰱	鰱 鰱󠄁 鰱󠄂
鰹	鰹 鰹󠄁 鰹󠄂
鰺	鰺 鰺󠄁 鰺󠄂
鰻	鰻 鰻󠄂 鰻󠄃
鱁	鱁 鱁󠄁 鱁󠄂 鱁󠄃
鱈	鱈 鱈󠄂 鱈󠄃
鱏	鱏 鱏󠄁 鱏󠄂
鱒	鱒 鱒󠄂 鱒󠄃 鱒󠄄
鱗	鱗 鱗󠄂 鱗󠄃 鱗󠄅
鱝	鱝 鱝󠄁 鱝󠄂
鱴	鱴 鱴󠄀 鱴󠄁
鱶	鱶 鱶󠄁 鱶󠄂 鱶󠄃
鳦	鳦 鳦󠄂 鳦󠄃
鳽	鳽 鳽󠄀 鳽󠄁
鴇	鴇 鴇󠄂 鴇󠄃
鴈	鴈 鴈󠄂 鴈󠄃
鴉	鴉 鴉󠄂 鴉󠄃 鴉󠄄
鴪	鴪 鴪󠄁 鴪󠄂
鴮	鴮 鴮󠄀 鴮󠄁
鵃	鵃 鵃󠄁 鵃󠄂
鵇	鵇 鵇󠄁 鵇󠄂
鵈	鵈 鵈󠄂 鵈󠄃
鵕	鵕 鵕󠄀 鵕󠄁
鵠	鵠 鵠󠄂 鵠󠄃
鵥	鵥 鵥󠄁 鵥󠄂
鵬	鵬 鵬󠄂 鵬󠄃
鵰	鵰 鵰󠄁 鵰󠄂
鵼	鵼 鵼󠄁 鵼󠄂
鶄	鶄 鶄󠄁 鶄󠄂
鶓	鶓 鶓󠄁 鶓󠄂
鶡	鶡 鶡󠄁 鶡󠄂
鶲	鶲 鶲󠄁 鶲󠄂 鶲󠄃
鶴	鶴 鶴󠄂 鶴󠄃
鶷	鶷 鶷󠄀 鶷󠄁
鶸	鶸 鶸󠄁 鶸󠄂
鶹	鶹 鶹󠄁 鶹󠄂
鶿	鶿 鶿󠄂 鶿󠄃 鶿󠄄 鶿󠄅
鷀	鷀 鷀󠄂 鷀󠄃 鷀󠄄 鷀󠄅
鷁	鷁 鷁󠄁 鷁󠄂 鷁󠄃
鷄	鷄 鷄󠄁 鷄󠄂
鷊	鷊 鷊󠄁 鷊󠄂
鷖	鷖 鷖󠄁 鷖󠄂
鷗	鷗 鷗󠄁 鷗󠄂
鷣	鷣 鷣󠄁 鷣󠄂
鷾	鷾 鷾󠄁 鷾󠄂
鸗	鸗 鸗󠄀 鸗󠄁
鸛	鸛 鸛󠄁 鸛󠄂
麀	麀 麀󠄁 麀󠄂
麁	麁 麁󠄁 麁󠄂 麁󠄃
麌	麌 麌󠄁 麌󠄂
麎	麎 麎󠄂 麎󠄃
麗	麗 麗󠄂 麗󠄃
麞	麞 麞󠄁 麞󠄂
麟	麟 麟󠄃 麟󠄄 麟󠄅
麨	麨 麨󠄁 麨󠄂
麩	麩 麩󠄁 麩󠄂
麪	麪 麪󠄂 麪󠄃
麬	麬 麬󠄁 麬󠄂
